# i average_correlation variance
1 0.017934 0.000007
2 0.015290 0.000007
3 0.013105 0.000007
4 0.011280 0.000007
5 0.009768 0.000006
6 0.008519 0.000006
7 0.007478 0.000006
8 0.006618 0.000006
9 0.005894 0.000006
10 0.005280 0.000005
11 0.004757 0.000005
12 0.004297 0.000005
13 0.003903 0.000004
14 0.003569 0.000004
15 0.003276 0.000004
16 0.003024 0.000004
17 0.002804 0.000004
18 0.002641 0.000004
19 0.002492 0.000004
20 0.002359 0.000004
21 0.002252 0.000004
22 0.002187 0.000004
23 0.002120 0.000004
24 0.002045 0.000004
25 0.001987 0.000004
26 0.001936 0.000004
27 0.001892 0.000004
28 0.001859 0.000004
29 0.001822 0.000004
30 0.001789 0.000004
31 0.001766 0.000004
32 0.001759 0.000004
33 0.001736 0.000004
34 0.001726 0.000004
35 0.001708 0.000004
36 0.001705 0.000004
37 0.001688 0.000004
38 0.001663 0.000004
39 0.001614 0.000004
40 0.001570 0.000004
41 0.001529 0.000004
42 0.001487 0.000004
43 0.001442 0.000004
44 0.001418 0.000004
45 0.001389 0.000004
46 0.001379 0.000004
47 0.001385 0.000004
48 0.001390 0.000004
49 0.001377 0.000004
50 0.001366 0.000004
51 0.001362 0.000004
52 0.001370 0.000003
53 0.001382 0.000004
54 0.001384 0.000004
55 0.001406 0.000004
56 0.001398 0.000004
57 0.001387 0.000004
58 0.001369 0.000004
59 0.001348 0.000004
60 0.001329 0.000004
61 0.001328 0.000003
62 0.001336 0.000003
63 0.001334 0.000004
64 0.001312 0.000004
65 0.001298 0.000004
66 0.001287 0.000004
67 0.001272 0.000004
68 0.001255 0.000004
69 0.001232 0.000004
70 0.001228 0.000004
71 0.001216 0.000004
72 0.001222 0.000004
73 0.001218 0.000004
74 0.001199 0.000004
75 0.001195 0.000004
76 0.001191 0.000004
77 0.001204 0.000004
78 0.001207 0.000004
79 0.001209 0.000004
80 0.001228 0.000004
81 0.001202 0.000004
82 0.001165 0.000004
83 0.001127 0.000004
84 0.001098 0.000004
85 0.001105 0.000004
86 0.001098 0.000004
87 0.001079 0.000004
88 0.001049 0.000004
89 0.001052 0.000004
90 0.001051 0.000004
91 0.001043 0.000004
92 0.001019 0.000004
93 0.000997 0.000004
94 0.000965 0.000004
95 0.000956 0.000004
96 0.000953 0.000004
97 0.000961 0.000004
98 0.000979 0.000003
99 0.000998 0.000003
100 0.001014 0.000003
101 0.001015 0.000003
102 0.001008 0.000003
103 0.001027 0.000003
104 0.001053 0.000003
105 0.001060 0.000003
106 0.001083 0.000003
107 0.001091 0.000003
108 0.001080 0.000003
109 0.001066 0.000003
110 0.001064 0.000004
111 0.001052 0.000004
112 0.001031 0.000004
113 0.001000 0.000004
114 0.000965 0.000004
115 0.000944 0.000004
116 0.000938 0.000004
117 0.000932 0.000004
118 0.000949 0.000004
119 0.000967 0.000004
120 0.000969 0.000004
121 0.000949 0.000004
122 0.000897 0.000004
123 0.000865 0.000004
124 0.000842 0.000004
125 0.000817 0.000004
126 0.000791 0.000004
127 0.000773 0.000004
128 0.000762 0.000004
129 0.000763 0.000004
130 0.000753 0.000004
131 0.000750 0.000004
132 0.000737 0.000003
133 0.000738 0.000003
134 0.000742 0.000003
135 0.000745 0.000003
136 0.000744 0.000003
137 0.000758 0.000003
138 0.000766 0.000003
139 0.000767 0.000003
140 0.000770 0.000003
141 0.000759 0.000003
142 0.000746 0.000003
143 0.000730 0.000003
144 0.000701 0.000003
145 0.000695 0.000003
146 0.000686 0.000003
147 0.000684 0.000003
148 0.000678 0.000003
149 0.000657 0.000003
150 0.000660 0.000003
151 0.000667 0.000003
152 0.000693 0.000003
153 0.000725 0.000003
154 0.000767 0.000003
155 0.000790 0.000003
156 0.000789 0.000003
157 0.000800 0.000003
158 0.000820 0.000003
159 0.000826 0.000003
160 0.000829 0.000003
161 0.000852 0.000003
162 0.000862 0.000003
163 0.000868 0.000003
164 0.000848 0.000003
165 0.000824 0.000003
166 0.000820 0.000003
167 0.000804 0.000003
168 0.000807 0.000003
169 0.000798 0.000003
170 0.000800 0.000003
171 0.000800 0.000003
172 0.000793 0.000003
173 0.000770 0.000003
174 0.000751 0.000003
175 0.000732 0.000003
176 0.000720 0.000003
177 0.000724 0.000003
178 0.000731 0.000003
179 0.000716 0.000003
180 0.000696 0.000003
181 0.000650 0.000003
182 0.000628 0.000003
183 0.000633 0.000003
184 0.000610 0.000003
185 0.000592 0.000003
186 0.000583 0.000003
187 0.000600 0.000003
188 0.000588 0.000003
189 0.000602 0.000003
190 0.000589 0.000003
191 0.000595 0.000003
192 0.000627 0.000003
193 0.000634 0.000003
194 0.000636 0.000003
195 0.000624 0.000003
196 0.000601 0.000003
197 0.000604 0.000003
198 0.000598 0.000003
199 0.000593 0.000003
200 0.000600 0.000003
201 0.000601 0.000003
202 0.000600 0.000003
203 0.000616 0.000003
204 0.000618 0.000003
205 0.000616 0.000003
206 0.000607 0.000003
207 0.000609 0.000003
208 0.000600 0.000003
209 0.000574 0.000003
210 0.000564 0.000003
211 0.000560 0.000003
212 0.000578 0.000003
213 0.000581 0.000003
214 0.000575 0.000003
215 0.000553 0.000003
216 0.000558 0.000003
217 0.000563 0.000003
218 0.000570 0.000003
219 0.000582 0.000003
220 0.000586 0.000003
221 0.000600 0.000003
222 0.000601 0.000003
223 0.000601 0.000003
224 0.000612 0.000003
225 0.000630 0.000003
226 0.000633 0.000003
227 0.000639 0.000003
228 0.000646 0.000003
229 0.000654 0.000003
230 0.000678 0.000003
231 0.000681 0.000003
232 0.000686 0.000003
233 0.000710 0.000003
234 0.000705 0.000003
235 0.000698 0.000003
236 0.000698 0.000003
237 0.000690 0.000003
238 0.000700 0.000003
239 0.000704 0.000003
240 0.000723 0.000003
241 0.000712 0.000003
242 0.000688 0.000003
243 0.000660 0.000003
244 0.000646 0.000003
245 0.000624 0.000003
246 0.000603 0.000003
247 0.000590 0.000003
248 0.000567 0.000003
249 0.000572 0.000003
